"trace_id","platform_time","Side","Role","Platform rate/-s","Platform asset","Exchange rate/-s","Exchange asset","fee_difference"
"9204309529183789867","2024-03-23 15:11:24.900209","Bid","Maker","-0.001083916633896972","aux","-0.00108391663389697207","base","0.00000000000000000007"
"9206288650110255315","2024-03-23 17:11:26.06265","Ask","Maker","-0.001135811429318687","aux","-0.00113581142931868706","quote","0.00000000000000000006"
"9212835417221731329","2024-03-23 23:48:20.424687","Bid","Maker","-0.001054967405475880","aux","-0.00105496740547588005","base","0.00000000000000000005"
"9191032101640862986","2024-03-23 01:46:20.804834","Ask","Maker","-0.001150289834582214","aux","-0.00115028983458221405","quote","0.00000000000000000005"
"9191992250170388037","2024-03-23 02:44:34.248974","Bid","Maker","-0.001103062658050014","aux","-0.00110306265805001404","base","0.00000000000000000004"
"9202211935874444236","2024-03-23 13:04:15.736068","Bid","Maker","-0.001104002940390270","aux","-0.00110400294039026997","base","0.00000000000000000003"
"9202329583618514793","2024-03-23 13:11:21.611925","Ask","Maker","-0.000632625199786894","aux","-0.00063262519978689397","quote","0.00000000000000000003"
"9206059401937098593","2024-03-23 16:57:37.392229","Bid","Maker","-0.001130267470827324","aux","-0.00113026747082732397","base","0.00000000000000000003"
"9197104429485991741","2024-03-23 07:54:31.173504","Bid","Maker","-0.000630931855500821","aux","-0.00063093185550082101","base","0.00000000000000000001"
"9212324144315808769","2024-03-23 23:17:20.93981","Ask","Maker","-0.000611554346400944","aux","-0.00061155434640094401","quote","0.00000000000000000001"
"9205935706878753464","2024-03-23 16:50:00.177505","Ask","Maker","-0.000978157875000000","aux","-0.00097815787499999999","quote","0.00000000000000000001"
"9195271268722289805","2024-03-23 06:03:23.264672","Bid","Maker","-0.001077171581769437","aux","-0.00107717158176943699","base","0.00000000000000000001"
"9212920354496146257","2024-03-23 23:53:29.011706","Bid","Maker","-0.001243427539062500","aux","-0.00124342753906249999","base","0.00000000000000000001"
"9191721495433167778","2024-03-23 02:28:08.951643","Bid","Maker","-0.000645099002949024","aux","-0.00064509900294902401","base","0.00000000000000000001"
"9212920354496474973","2024-03-23 23:53:29.051224","Bid","Maker","-0.000610351562500000","aux","-0.00061035156249999999","base","0.00000000000000000001"
"9192537607938238194","2024-03-23 03:17:38.043749","Ask","Maker","-0.000045000000000000","base","-0.000045","base","0.000000000000000000"
"9192537607938158283","2024-03-23 03:17:37.599672","Ask","Taker","0.017334570000000000","quote","0.01733457","quote","0.000000000000000000"
"9191957615554112602","2024-03-23 02:42:27.680678","Ask","Maker","-0.002000000000000000","base","-0.002","quote","0.000000000000000000"
"9191824574646940392","2024-03-23 02:34:23.445893","Bid","Taker","0.000000000000000000","aux","0","aux","0.000000000000000000"
"9191824299769077396","2024-03-23 02:34:22.410423","Bid","Taker","0.000000000000000000","aux","0","aux","0.000000000000000000"
"9191823750016078601","2024-03-23 02:34:20.420824","Bid","Maker","-0.007930000000000000","quote","-0.00793","quote","0.000000000000000000"
"9191805608071156754","2024-03-23 02:33:18.606013","Bid","Maker","-0.003109897133000000","quote","-0.003109897133","quote","0.000000000000000000"
"9191643979863197739","2024-03-23 02:23:28.016873","Ask","Maker","-0.050000000000000000","base","-0.05","quote","0.000000000000000000"
"9191580757943778177","2024-03-23 02:19:36.900881","Bid","Maker","-0.008065400000000000","quote","-0.0080654","quote","0.000000000000000000"
"9191402362183500995","2024-03-23 02:08:47.070027","Bid","Maker","0.000000000000000000","aux","0","aux","0.000000000000000000"
"9191326495882886030","2024-03-23 02:04:11.546802","Ask","Taker","0.000000000000000000","aux","0","aux","0.000000000000000000"
"9191326221002103020","2024-03-23 02:04:11.495228","Bid","Maker","-0.007901550000000000","quote","-0.00790155","quote","0.000000000000000000"
"9191316050521930258","2024-03-23 02:03:33.910594","Ask","Taker","0.000000000000000000","aux","0","aux","0.000000000000000000"
"9191282515417933103","2024-03-23 02:01:31.061965","Bid","Maker","-0.007900200000000000","quote","-0.0079002","quote","0.000000000000000000"
"9191282240536445057","2024-03-23 02:01:30.538097","Ask","Maker","-0.030881000000000000","base","-0.030881","quote","0.000000000000000000"
"9191282240536408241","2024-03-23 02:01:30.534967","Ask","Maker","-0.000002500000000000","base","-0.0000025","quote","0.000000000000000000"
"9191126384765839744","2024-03-23 01:52:03.035368","Bid","Maker","-0.008056000000000000","quote","-0.008056","quote","0.000000000000000000"
"9191030177497240428","2024-03-23 01:46:13.978166","Bid","Taker","0.000000000000000000","aux","0","aux","0.000000000000000000"
"9190992794101779254","2024-03-23 01:43:57.474516","Bid","Taker","0.000000000000000000","aux","0","aux","0.000000000000000000"
"9190760797147893709","2024-03-23 01:29:53.316426","Bid","Maker","-0.007920000000000000","quote","-0.00792","base","0.000000000000000000"
"9189961727074654258","2024-03-23 00:41:26.403887","Ask","Maker","-0.001451500000000000","base","-0.0014515","base","0.000000000000000000"
"9189961727074654250","2024-03-23 00:41:26.398936","Ask","Maker","-0.000548500000000000","base","-0.0005485","base","0.000000000000000000"
"9189918021485891433","2024-03-23 00:38:47.208206","Bid","Maker","-0.004609500000000000","quote","-0.0046095","quote","0.000000000000000000"
"9189482340003271899","2024-03-23 00:12:22.817869","Bid","Taker","0.000000000000000000","aux","0","aux","0.000000000000000000"
"9189453477824252175","2024-03-23 00:10:37.96354","Bid","Taker","0.000000000000000000","aux","0","aux","0.000000000000000000"
"9189440833438079542","2024-03-23 00:09:51.606866","Ask","Taker","0.000000000000000000","aux","0","aux","0.000000000000000000"
"9198368043223397338","2024-03-23 09:11:08.679485","Bid","Taker","0.000000000000000000","aux","0","aux","0.000000000000000000"
"9212250202155629979","2024-03-23 23:12:51.5125","Ask","Maker","-0.000003000000000000","base","-0.000003","base","0.000000000000000000"
"9212227112414158699","2024-03-23 23:11:27.676524","Ask","Taker","0.000000000000000000","aux","0","aux","0.000000000000000000"
"9210497305743112016","2024-03-23 21:26:34.10064","Ask","Taker","0.000000000000000000","aux","0","aux","0.000000000000000000"
"9210495931357312697","2024-03-23 21:26:29.537168","Ask","Taker","0.000000000000000000","aux","0","aux","0.000000000000000000"
"9210495106722556815","2024-03-23 21:26:26.690542","Ask","Taker","0.000000000000000000","aux","0","aux","0.000000000000000000"
"9210494831842652449","2024-03-23 21:26:25.339595","Bid","Maker","-0.008360450000000000","quote","-0.00836045","quote","0.000000000000000000"
"9209518740398279468","2024-03-23 20:27:14.978514","Ask","Taker","0.000000000000000000","aux","0","aux","0.000000000000000000"
